#Onset,Duration,Annotation
2002-02-05T02:07:23.0000000,30,???
2002-02-05T02:07:53.0000000,30,???
2002-02-05T02:08:23.0000000,30,???
2002-02-05T02:08:53.0000000,30,???
2002-02-05T02:09:23.0000000,30,???
2002-02-05T02:09:53.0000000,30,???
2002-02-05T02:10:23.0000000,30,???
2002-02-05T02:10:53.0000000,30,???
2002-02-05T02:11:23.0000000,30,???
2002-02-05T02:11:53.0000000,30,???
2002-02-05T02:12:23.0000000,30,???
2002-02-05T02:12:53.0000000,30,???
2002-02-05T02:13:23.0000000,30,???
2002-02-05T02:13:53.0000000,30,???
2002-02-05T02:14:23.0000000,30,???
2002-02-05T02:14:53.0000000,30,???
2002-02-05T02:15:23.0000000,30,???
2002-02-05T02:15:53.0000000,30,???
2002-02-05T02:16:23.0000000,30,???
2002-02-05T02:16:53.0000000,30,???
2002-02-05T02:17:23.0000000,30,???
2002-02-05T02:17:53.0000000,30,???
2002-02-05T02:18:23.0000000,30,???
2002-02-05T02:18:53.0000000,30,???
2002-02-05T02:19:23.0000000,30,???
2002-02-05T02:19:53.0000000,30,???
2002-02-05T02:20:23.0000000,30,???
2002-02-05T02:20:53.0000000,30,???
2002-02-05T02:21:23.0000000,30,???
2002-02-05T02:21:53.0000000,30,???
2002-02-05T02:22:23.0000000,30,???
2002-02-05T02:22:53.0000000,30,???
2002-02-05T02:23:23.0000000,30,???
2002-02-05T02:23:53.0000000,30,???
2002-02-05T02:24:23.0000000,30,???
2002-02-05T02:24:53.0000000,30,???
2002-02-05T02:25:23.0000000,30,???
2002-02-05T02:25:53.0000000,30,???
2002-02-05T02:26:23.0000000,30,???
2002-02-05T02:26:53.0000000,30,???
2002-02-05T02:27:23.0000000,30,???
2002-02-05T02:27:53.0000000,30,???
2002-02-05T02:28:23.0000000,30,???
2002-02-05T02:28:53.0000000,30,???
2002-02-05T02:29:23.0000000,30,???
2002-02-05T02:29:53.0000000,30,???
2002-02-05T02:30:23.0000000,30,???
2002-02-05T02:30:53.0000000,30,???
2002-02-05T02:31:23.0000000,30,???
2002-02-05T02:31:53.0000000,30,???
2002-02-05T02:32:23.0000000,30,???
2002-02-05T02:32:53.0000000,30,???
2002-02-05T02:33:23.0000000,30,???
2002-02-05T02:33:53.0000000,30,???
2002-02-05T02:34:23.0000000,30,???
2002-02-05T02:34:53.0000000,30,???
2002-02-05T02:35:23.0000000,30,???
2002-02-05T02:35:53.0000000,30,???
2002-02-05T02:36:23.0000000,30,???
2002-02-05T02:36:53.0000000,30,???
2002-02-05T02:37:23.0000000,30,???
2002-02-05T02:37:53.0000000,30,???
2002-02-05T02:38:23.0000000,30,???
2002-02-05T02:38:53.0000000,30,???
2002-02-05T02:39:23.0000000,30,???
2002-02-05T02:39:53.0000000,30,???
2002-02-05T02:40:23.0000000,30,???
2002-02-05T02:40:53.0000000,30,???
2002-02-05T02:41:23.0000000,30,???
2002-02-05T02:41:53.0000000,30,???
2002-02-05T02:42:23.0000000,30,???
2002-02-05T02:42:53.0000000,30,???
2002-02-05T02:43:23.0000000,30,???
2002-02-05T02:43:53.0000000,30,???
2002-02-05T02:44:23.0000000,30,???
2002-02-05T02:44:53.0000000,30,???
2002-02-05T02:45:23.0000000,30,???
2002-02-05T02:45:53.0000000,30,???
2002-02-05T02:46:23.0000000,30,???
2002-02-05T02:46:53.0000000,30,???
2002-02-05T02:47:23.0000000,30,???
2002-02-05T02:47:53.0000000,30,???
2002-02-05T02:48:23.0000000,30,???
2002-02-05T02:48:53.0000000,30,???
2002-02-05T02:49:23.0000000,30,???
2002-02-05T02:49:53.0000000,30,???
2002-02-05T02:50:23.0000000,30,???
2002-02-05T02:50:53.0000000,30,???
2002-02-05T02:51:23.0000000,30,???
2002-02-05T02:51:53.0000000,30,???
2002-02-05T02:52:23.0000000,30,???
2002-02-05T02:52:53.0000000,30,???
2002-02-05T02:53:23.0000000,30,???
2002-02-05T02:53:53.0000000,30,???
2002-02-05T02:54:23.0000000,30,???
2002-02-05T02:54:53.0000000,30,???
2002-02-05T02:55:23.0000000,30,???
2002-02-05T02:55:53.0000000,30,???
